,depth,rain,temp,level
0,31.82,460.93,23.82,19.22
1,31.77,441.92,18.11,15.38
2,30.09,406.02,21.77,19.08
3,31.9,406.05,23.67,15.5
4,31.83,442.17,21.01,17.24
5,30.42,444.87,22.41,17.44
6,31.0,418.25,17.77,15.37
7,30.75,491.91,17.59,16.52
8,31.06,418.44,22.72,18.13
9,30.88,448.22,24.55,18.81
10,30.98,448.99,20.78,19.42
11,31.77,445.41,21.66,16.9
12,31.1,476.43,22.82,15.01
13,31.02,425.88,19.93,16.82
14,31.29,426.52,18.58,18.33
15,31.76,477.2,19.53,19.43
16,30.43,455.32,23.23,17.86
17,31.36,422.14,21.33,16.97
18,31.52,441.24,20.11,18.92
19,30.08,496.35,23.1,15.84
20,30.57,414.79,23.4,19.02
21,30.42,483.2,18.77,19.22
22,31.23,450.88,21.98,18.24
23,31.3,486.76,24.33,15.03
24,31.94,465.61,18.8,17.79
25,30.95,416.49,23.45,16.58
26,31.91,454.27,24.48,18.38
27,31.43,434.39,24.89,16.67
28,31.27,475.0,17.62,17.53
29,30.65,416.85,23.52,19.93
30,31.79,414.38,18.41,15.23
31,30.14,499.81,18.71,16.92
32,31.33,475.74,18.92,16.54
33,30.25,419.23,17.12,16.21
34,31.14,450.49,21.81,17.86
35,31.62,420.39,24.77,17.48
36,30.34,408.17,17.76,17.76
37,30.58,453.21,19.21,17.88
38,31.47,407.52,19.4,18.49
39,30.93,452.79,22.94,15.03
40,31.06,422.44,19.32,16.17
41,31.83,427.42,20.61,17.94
42,31.34,456.25,19.89,18.33
43,30.25,475.28,23.17,19.02
44,30.92,455.35,23.12,18.25
45,30.7,403.84,18.44,19.03
46,30.88,477.78,20.6,16.25
47,31.46,415.17,21.07,18.61
48,30.19,455.6,18.56,15.94
49,31.19,439.73,17.62,19.37
50,31.18,408.95,16.09,17.02
51,31.98,453.0,20.93,19.45
52,31.64,421.98,21.8,16.76
53,31.85,496.71,20.3,16.92
54,30.17,482.57,23.36,15.86
55,31.3,441.31,16.04,18.31
56,31.13,426.21,19.41,16.84
57,31.58,482.69,20.57,18.04
58,30.33,455.56,18.48,16.28
59,30.74,424.92,19.86,17.96
60,31.21,443.7,16.55,16.71
61,31.46,480.76,23.19,19.89
62,31.72,446.24,18.93,19.11
63,30.82,491.53,24.77,18.87
64,31.14,435.24,17.32,15.21
65,30.56,427.09,24.89,19.45
66,31.61,496.02,17.54,17.81
67,30.49,406.44,22.83,15.16
68,31.95,408.8,20.08,15.75
69,31.36,483.25,24.59,16.38
70,31.95,467.13,18.72,18.53
71,30.04,411.58,24.33,17.16
72,31.45,478.86,18.13,17.82
73,30.24,412.18,22.79,18.46
74,31.0,423.66,17.46,16.96
75,31.92,406.38,22.15,18.38
76,30.31,420.31,20.75,17.21
77,30.48,499.96,18.88,16.2
78,30.01,478.94,22.18,19.92
79,31.55,457.64,17.48,16.69
80,31.38,496.62,16.26,19.04
81,31.73,485.58,20.23,18.37
82,31.67,495.39,17.09,17.19
83,30.65,404.94,16.29,17.96
84,30.46,425.74,18.55,18.87
85,30.14,482.83,21.01,17.62
86,31.79,482.92,22.17,17.34
87,31.08,410.1,18.49,19.25
88,30.71,481.58,19.94,17.98
89,31.77,453.58,20.11,16.41
90,30.9,436.36,17.81,16.34
91,30.97,420.35,21.29,17.49
92,31.31,403.03,23.68,18.65
93,31.93,402.34,17.91,19.41
94,30.81,487.02,20.91,17.35
95,31.91,474.86,21.11,17.13
96,31.13,494.77,24.89,16.52
97,30.75,472.14,17.21,15.06
98,30.93,420.82,23.18,17.35
99,30.41,439.18,23.15,19.96
100,31.28,411.11,24.15,19.44
101,31.97,434.79,20.87,18.9
102,31.08,408.92,20.16,15.04
103,30.29,444.46,22.26,19.29
104,30.14,494.49,21.33,16.18
105,30.95,480.3,18.97,16.28
106,30.62,473.49,19.3,18.28
107,30.7,413.67,23.26,16.42
108,31.24,462.19,18.33,18.36
